Ticker,Close,Breakout_Pivot,Buy_Signal,Exit_Signal,RS_Blend,ADV_INR,Stop_Loss
AADHARHFC.NS,479.70001220703125,523.0,False,True,0.031535340170055236,175656781.19887543,483.231915486974
AARTIIND.NS,463.3500061035156,523.0999755859375,False,True,0.07235986893274951,687530606.703508,470.97506322503006
AAVAS.NS,1358.199951171875,1494.9000244140625,False,True,-0.22999244870149463,125489350.5644165,1366.868217121162
ABDL.NS,532.25,600.0,False,True,0.15953179446147614,183838673.91170654,541.5440163431633
ABFRL.NS,62.529998779296875,69.08999633789062,False,True,-0.5458833530016275,285315006.89212644,63.43507317005685
ABREL.NS,1279.0,1598.0,False,True,-0.33233071120916746,425978153.31203,1362.4580981963713
ABSLAMC.NS,1021.0999755859375,1123.5,False,True,0.48283685146050864,591767906.2404907,1033.5524013582187
ACE.NS,896.8499755859375,966.75,False,False,-0.19449134479722568,428589256.1405884,891.8412599190746
ACMESOLAR.NS,281.6499938964844,316.8999938964844,False,True,0.1681388852277237,408040312.6323563,286.2662515916645
AEGISLOG.NS,709.9500122070312,754.0,False,False,-0.11508868804362363,344189810.57153624,688.3320926293294
AFCONS.NS,305.3999938964844,359.04998779296875,False,True,-0.292799277042457,536394243.92334443,325.528179538894
AFFLE.NS,1443.9000244140625,1686.0,False,True,-0.14383085006826193,1117147597.6636658,1469.560234693797
AMBER.NS,7049.5,8974.0,False,True,0.04875575560205099,3452243891.7,7869.757842830535
ANANDRATHI.NS,3533.699951171875,3691.7575498878223,False,True,0.6664983663179712,907699492.0282593,3545.2353479685025
ANANTRAJ.NS,488.70001220703125,564.8499755859375,False,True,-0.06283852959720462,1667229687.0741684,500.8573831917784
ANGELONE.NS,325.0,334.95001220703125,False,False,0.2593662384156422,2083471931.9508958,308.17013534505554
ANURAS.NS,1371.5,1415.0,False,False,0.42695577181529293,519873475.5801697,1347.3367596479122
APTUS.NS,269.1000061035156,291.1766825388109,False,False,-0.12101419506997212,606163181.8030167,259.30075683126597
ARE&M.NS,814.6500244140625,957.0,False,True,-0.1726433195971569,3109547507.2092957,836.1420900438106
ASAHIINDIA.NS,828.9500122070312,887.2000122070312,False,True,-0.0009955740645747127,69853733.72512512,832.3946506462054
ASTERDM.NS,764.8499755859375,770.0,False,False,0.24717787256699877,989112096.5171173,728.8032923774105
ATHERENERG.NS,909.0499877929688,989.4000244140625,False,True,1.3548231592034878,3923664294.0787354,910.21668345421
ATUL.NS,6992.0,7180.0,False,False,0.08917669411115532,355733623.15,6876.278582033115
BALRAMCHIN.NS,530.75,563.4000244140625,False,False,0.03147119656894144,540881876.6263549,527.1370674909161
BANDHANBNK.NS,192.14999389648438,212.66000366210938,False,False,0.18564808996571258,3486088178.4052787,191.69305803892024
BATAINDIA.NS,686.9000244140625,779.0,False,True,-0.39650462880271214,83316085.47998658,708.2272559926504
BAYERCROP.NS,4315.5,4863.89990234375,False,True,-0.07917941471985643,69615511.1090332,4523.017203207313
BBTC.NS,1518.199951171875,1610.800048828125,False,False,-0.16621379875665804,93116806.89888915,1514.902484335931
BEML.NS,1828.800048828125,2037.0999755859375,False,False,0.012399495939165069,575959174.7205994,1811.4306105270994
BIKAJI.NS,676.7999877929688,708.75,False,False,-0.04128504040771737,97594458.82950744,665.0120725160687
BLS.NS,268.3999938964844,295.20001220703125,False,True,-0.25903265191881236,662404243.0330986,272.19270406892304
BLUEDART.NS,4839.5,5775.5,False,True,-0.2544478543446321,81409928.3090332,5206.651361850912
BLUEJET.NS,437.54998779296875,501.6000061035156,False,True,-0.38257502097759494,198054531.4476822,440.1760196047392
BRIGADE.NS,679.75,816.0,False,True,-0.32812436468259243,205392572.06924742,725.7788993931567
BSOFT.NS,319.6000061035156,391.0,False,True,-0.21622536902593403,374319380.24820554,344.0628677370783
CAMS.NS,780.4000244140625,844.9000244140625,False,False,0.03685028030083868,1757276868.8849518,772.3318951517813
CANFINHOME.NS,838.5,943.9000244140625,False,True,0.06910268688010324,153593539.03233337,857.0737544514105
CAPLIPOINT.NS,2016.5999755859375,2060.0,False,False,0.018565181229926918,440526995.337793,1862.3799779016174
CARBORUNIV.NS,1059.1500244140625,1166.4000244140625,False,False,0.13803506030870336,355855932.76250917,1005.7750139547012
